device, format, fps, frame_timing(us)
0, 0, 59.96, 500351
0, 0, 59.96, 500356
0, 0, 59.95, 500376
0, 0, 59.95, 500438
0, 0, 59.97, 500254
0, 0, 59.95, 500393
0, 0, 59.96, 500352
0, 0, 59.96, 500356
0, 0, 59.94, 500493
0, 0, 59.97, 500210
0, 0, 59.95, 500423
0, 0, 59.97, 500238
0, 0, 59.96, 500310
0, 0, 59.93, 500545
0, 0, 59.96, 500340
0, 0, 59.96, 500311
0, 0, 59.96, 500293
0, 0, 59.95, 500385
0, 0, 59.97, 500211
0, 0, 59.94, 500526
0, 0, 59.96, 500336
0, 0, 59.97, 500260
0, 0, 59.94, 500520
0, 0, 59.98, 500168
0, 0, 59.94, 500483
0, 0, 59.95, 500404
0, 0, 59.98, 500195
0, 0, 59.95, 500384
0, 0, 59.94, 500465
0, 0, 59.98, 500174
0, 0, 59.95, 500391
0, 0, 59.96, 500340
0, 0, 59.94, 500493
0, 0, 59.97, 500282
0, 0, 59.96, 500305
0, 0, 59.95, 500439
0, 0, 59.97, 500274
0, 0, 59.94, 500529
0, 0, 59.97, 500262
0, 0, 59.97, 500290
0, 0, 59.97, 500279
0, 0, 59.94, 500512
0, 0, 59.97, 500291
0, 0, 59.96, 500317
0, 0, 59.95, 500404
0, 0, 59.96, 500346
0, 0, 59.94, 500495
0, 0, 59.97, 500291
0, 0, 59.95, 500455
0, 0, 59.98, 500127
0, 0, 59.96, 500363
0, 0, 59.95, 500376
0, 0, 59.94, 500477
0, 0, 59.94, 500537
0, 0, 59.98, 500195
0, 0, 59.96, 500356
0, 0, 59.96, 500344
0, 0, 59.96, 500334
0, 0, 59.95, 500391
0, 0, 59.97, 500211
0, 0, 59.96, 500305
0, 0, 59.94, 500460
0, 0, 59.97, 500241
0, 0, 59.96, 500356
0, 0, 59.93, 500584
0, 0, 59.97, 500240
0, 0, 59.97, 500280
0, 0, 59.95, 500442
0, 0, 59.95, 500379
0, 0, 59.97, 500264
0, 0, 59.95, 500431
0, 0, 59.97, 500241
0, 0, 59.95, 500455
0, 0, 59.95, 500376
0, 0, 59.96, 500321
0, 0, 59.97, 500263
0, 0, 59.96, 500340
0, 0, 59.95, 500414
0, 0, 59.94, 500522
0, 0, 59.97, 500221
0, 0, 59.97, 500274
0, 0, 59.94, 500532
0, 0, 59.97, 500264
0, 0, 59.97, 500289
0, 0, 59.95, 500411
0, 0, 59.95, 500402
0, 0, 59.96, 500329
0, 0, 59.95, 500385
0, 0, 59.96, 500294
0, 0, 59.97, 500259
0, 0, 59.95, 500406
0, 0, 59.96, 500318
0, 0, 59.92, 500678
0, 0, 46.40, 538797
0, 0, 43.00, 511585
0, 0, 43.96, 500436
0, 0, 43.94, 500631
0, 0, 43.99, 500096
0, 0, 45.22, 508612
0, 0, 45.20, 508868
0, 0, 43.98, 500215
0, 0, 45.95, 500516
0, 0, 47.98, 500167
0, 0, 41.96, 500477
0, 0, 43.97, 500335
0, 0, 39.97, 500352
0, 0, 39.96, 500482
0, 0, 43.99, 500167
0, 0, 39.97, 500392
0, 0, 47.93, 500682
0, 0, 50.31, 516782
0, 0, 47.96, 500423
